message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,User has an active bank account relationship with HDFC Bank and has previously received payment-related messages. The message is time-sensitive and requires immediate attention.,0.95,"message_0011,message_0076,message_0075,message_0244,message_0091,message_0243,message_0101"
msg_091,notify,personal,Workspace access expiration requires immediate action to prevent account deactivation,0.95,message_0238
msg_090,notify,personal,"The message is a personal inquiry about a package mix-up and does not match the user's previous business or promotional interactions. It is not urgent, but it requires attention to resolve the package issue.",0.9,
msg_048,notify,payment,"Urgent penalty notice with deadline for access card clearance, requires immediate action to avoid service disruption.",0.95,"message_0151,message_0098,message_0067,message_0068,message_0237,message_0152,message_0030,message_0100"
msg_040,mute,spam,"Message contains manipulative language ('luck changes when you share', 'Do not ignore') and is a forward with no added value, typical of spam or scam tactics.",0.95,"message_0136,message_0018,message_0017,message_0157,message_0034,message_0104,message_0158,message_0112,message_0084,message_0103,message_0188,message_0052"
msg_075,notify,business_update,"Ride booking status update with potential route changes, relevant to user's recent ride booking activity and business relationship.",0.95,"message_0205,message_0206"
msg_005,,,,,
msg_104,,,,,
msg_069,,,,,
msg_107,,,,,
msg_070,,,,,
msg_003,,,,,
msg_099,,,,,
msg_008,,,,,
msg_092,,,,,
msg_060,,,,,
msg_004,,,,,
msg_030,,,,,
msg_045,,,,,
msg_052,,,,,
msg_009,,,,,
msg_071,,,,,
msg_016,,,,,
msg_065,,,,,
msg_038,,,,,
msg_086,,,,,
msg_014,,,,,
msg_094,,,,,
msg_029,,,,,
msg_105,,,,,
msg_002,,,,,
msg_010,,,,,
msg_078,,,,,
msg_013,,,,,
msg_018,,,,,
msg_044,,,,,
msg_032,,,,,
msg_106,,,,,
msg_006,,,,,
msg_109,,,,,
msg_108,,,,,
msg_019,,,,,
msg_088,,,,,
msg_056,,,,,
msg_027,,,,,
msg_050,,,,,
msg_083,,,,,
msg_063,,,,,
msg_033,,,,,
msg_061,,,,,
msg_020,,,,,
msg_017,,,,,
msg_058,,,,,
msg_026,,,,,
msg_047,,,,,
msg_046,,,,,
msg_042,,,,,
msg_079,,,,,
msg_098,,,,,
msg_037,,,,,
msg_007,,,,,
msg_085,,,,,
msg_001,,,,,
msg_021,,,,,
msg_028,,,,,
msg_012,,,,,
msg_064,,,,,
msg_103,,,,,
msg_031,,,,,
msg_057,,,,,
msg_087,,,,,
msg_067,,,,,
msg_039,,,,,
msg_082,,,,,
msg_066,,,,,
msg_049,,,,,
msg_015,,,,,
msg_051,,,,,
msg_097,,,,,
msg_089,,,,,
msg_053,,,,,
msg_059,,,,,
msg_024,,,,,
msg_072,,,,,
msg_036,,,,,
msg_076,,,,,
msg_055,,,,,
msg_102,,,,,
msg_080,,,,,
msg_093,,,,,
msg_034,,,,,
msg_035,,,,,
msg_101,,,,,
msg_041,,,,,
msg_011,,,,,
msg_110,,,,,
msg_095,,,,,
msg_074,,,,,
msg_073,,,,,
msg_054,,,,,
msg_068,,,,,
msg_100,,,,,
msg_062,,,,,
msg_096,,,,,
msg_043,,,,,
msg_077,,,,,
msg_081,,,,,
msg_025,,,,,
msg_084,,,,,
msg_022,,,,,
